q1,q2,q3,q4,q5,q6,q7,q41,q66,q77,q85,q86
6,1,3,1,,1.55,59.42,1,4,5,4,4
5,1,3,2,A   E,1.65,53.07,3,3,1,4,6
5,2,3,2,C E,1.9,77.11,1,3,8,1,5
5,2,3,2,E,1.78,74.84,2,3,8,3,3
5,2,3,2,E,1.78,79.38,4,4,6,3,3
7,,5,1,C,,,1,5,8,1,7
5,1,3,1,,1.57,52.16,1,3,4,2,3
5,2,3,1,A,1.7,99.79,1,4,4,1,5
5,2,3,2,E,,,1,3,8,1,4
6,2,4,1,,1.8,58.51,1,2,2,3,3
5,2,3,2,E,1.55,49.9,1,3,6,2,4
5,2,3,1,E,1.7,92.99,1,5,4,4,4
5,2,3,2,B,1.73,83.92,1,4,3,3,4
5,2,3,,,1.73,67.13,1,3,3,3,3
5,2,3,2,E,1.73,65.77,4,3,8,3,3
5,2,3,1,,1.85,158.76,1,5,8,1,2
5,2,3,2,E,1.83,92.99,1,3,8,3,5
6,1,3,1,E,1.63,72.58,4,4,3,2,1
6,1,4,1,,,,1,4,6,1,4
6,2,4,2,E,1.85,72.58,3,2,7,2,4
6,1,4,2,B,1.63,70.31,4,4,8,4,5
6,2,4,2,D,1.78,68.49,1,3,7,2,2
4,2,1,2,E,1.73,63.5,1,4,8,2,2
5,2,3,2,B,1.63,57.15,1,3,7,3,3
6,,4,2,E,,,1,4,4,5,1
7,2,4,2,E,1.88,104.33,5,3,8,1,3
6,1,4,2,E,1.7,54.43,1,2,3,2,4
6,1,4,2,E,1.6,58.97,2,3,7,4,3
7,1,4,2,E,1.6,70.31,1,4,8,4,4
6,2,4,2,B,,,,3,4,2,4
6,1,4,2,E,1.73,70.31,1,4,8,3,2
6,2,4,2,E,1.83,83.92,1,3,3,3,3
6,1,4,1,A,1.63,53.52,1,3,1,4,4
6,2,4,2,B  E,1.85,75.3,1,3,2,4,3
6,2,4,1,,1.8,66.23,1,3,2,2,4
6,1,4,2,E,1.7,65.77,1,3,6,3,3
6,1,4,2,E,1.65,54.43,3,3,4,2,3
6,1,4,1,,1.6,53.52,1,3,3,3,2
6,1,4,1,,1.52,57.61,1,4,1,2,1
6,2,4,1,,1.68,54.43,1,2,6,1,4
6,2,4,2,,,,,3,2,3,4
6,2,4,1,E,1.75,52.62,1,1,2,3,1
7,1,4,2,B DE,1.7,56.7,2,3,8,1,4
6,1,4,1,A   E,1.63,66.23,1,3,1,4,5
6,1,4,2,,1.65,61.24,2,3,3,2,3
6,1,4,2,C E,1.57,45.81,1,2,2,4,7
7,1,4,2,E,1.73,57.15,1,3,6,2,1
6,1,4,1,,1.63,52.16,1,3,4,1,4
7,2,4,1,E,1.78,90.72,1,4,2,1,4
7,2,4,1,,1.73,70.76,1,3,8,1,4
6,2,4,1,E,1.78,68.95,1,3,4,4,4
6,1,4,2,E,,,1,4,4,2,6
6,1,4,1,E,1.7,56.7,2,3,6,3,4
6,1,4,2,E,1.6,59.88,2,3,1,4,2
3,2,1,1,E,1.68,55.34,1,3,8,3,2
6,1,4,2,E,1.7,64.41,1,3,6,2,4
6,1,4,2,,1.7,66.68,1,3,8,4,3
5,2,3,2,E,1.83,87.54,1,4,1,2,3
5,1,3,2,E,1.65,63.5,3,3,3,3,5
5,1,3,2,E,1.65,49.44,5,2,8,4,5
4,2,2,1,E,,,1,3,3,2,3
5,2,3,2,C E,1.68,112.95,2,4,1,2,3
